Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
R. Goulbourne,"FB,W",,Toronto II,Toronto II,19.0,Canada,Canada,left,107000.0,6.78,6.702811393727128,-0.07718860627287238,,,,,,,,,,,,,,
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,6.81,6.857092076379271,0.04709207637927104,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic-United States,17 (18),Fort Lauderdale CF,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,6.81,6.857092076379271,0.04709207637927104,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,6.81,6.857092076379271,0.04709207637927104,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,6.81,6.857092076379271,0.04709207637927104,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
T. Allen,"FB,W",,Tucson,Forward Madison,23.0,United States,United States,,107000.0,6.6,6.730664443854534,0.1306644438545348,,,,,,,,,,,,,,
A. Monis,W,2023-12-31,Chicago Fire,Forward Madison,19.0,United States,United States,,107000.0,6.8,6.253349188311688,-0.5466508116883118,,,,,,,,,,,,,,
D. Dubose,"FB,AM,W",,Richmond Kickers,Richmond Kickers,29.0,United States,United States,right,80250.0,6.6,6.36764503246753,-0.2323549675324692,,,,,,,,,,,,,,
T. Antonoglou,W,,Toronto II,Toronto II,20.0,Canada,Canada,,80250.0,6.84,6.95484685527984,0.11484685527983984,83000,,83000,,2020-07-02,2022-11-30,2022-03-18,OPSMPRO,Themi Antonoglou,Canada-Greece,20,Toronto FC II,midfield - Left Midfield,https://www.transfermarkt.us/themi-antonoglou/profil/spieler/680394
R. Michael,"W,CF",,Tormenta,Tormenta,22.0,Sierra Leone,Sierra Leone,unknown,80250.0,6.75,6.718122056008861,-0.03187794399113919,83000,,83000,,2022-03-22,2022-11-30,,,Rodney Michael,Sierra Leone,22,South Georgia Tormenta FC,attack - Right Winger,https://www.transfermarkt.us/rodney-michael/profil/spieler/866504
K. Strickler,"W,CF",,Tormenta,Tormenta,23.0,United States,United States,,80250.0,6.62,6.772422475961045,0.1524224759610453,83000,,83000,,2021-12-01,,,Ascension Athletes,Kristo Strickler,Philippines,23,South Georgia Tormenta FC,midfield - Attacking Midfield,https://www.transfermarkt.us/kristo-strickler/profil/spieler/638677
K. Strickler,"W,CF",,Tormenta,Tormenta,23.0,United States,United States,,80250.0,6.62,6.772422475961045,0.1524224759610453,83000,,83000,,2021-12-01,,,Ascension Athletes,Kristo Strickler,Philippines,23,South Georgia Tormenta FC,midfield - Attacking Midfield,https://www.transfermarkt.us/kristo-strickler/profil/spieler/638677
K. Strickler,"W,CF",,Tormenta,Tormenta,23.0,United States,United States,,80250.0,6.62,6.772422475961045,0.1524224759610453,83000,,83000,,2021-12-01,,,Ascension Athletes,Kristo Strickler,Philippines,23,South Georgia Tormenta FC,midfield - Attacking Midfield,https://www.transfermarkt.us/kristo-strickler/profil/spieler/638677
A. Caputo,"CM,W",,Fort Lauderdale,Fort Lauderdale,21.0,Venezuela,"Venezuela, Italy",,80250.0,6.68,6.685601747587544,0.005601747587544281,83000,,83000,,2021-04-09,2022-11-30,2022-02-24,RedWine Sports,Abel Caputo,Venezuela-Italy,20 (21),Fort Lauderdale CF,attack - Right Winger,https://www.transfermarkt.us/abel-caputo/profil/spieler/677694
A. Caputo,"CM,W",,Fort Lauderdale,Fort Lauderdale,21.0,Venezuela,"Venezuela, Italy",,80250.0,6.68,6.685601747587544,0.005601747587544281,83000,,83000,,2021-04-09,2022-11-30,2022-02-24,RedWine Sports,Abel Caputo,Venezuela,21,Inter Miami CF II,attack - Right Winger,https://www.transfermarkt.us/abel-caputo/profil/spieler/677694
A. Caputo,"CM,W",,Fort Lauderdale,Fort Lauderdale,21.0,Venezuela,"Venezuela, Italy",,80250.0,6.68,6.685601747587544,0.005601747587544281,83000,,83000,,2021-04-09,2022-11-30,2022-02-24,RedWine Sports,Abel Caputo,Venezuela,21,Inter Miami CF II,attack - Right Winger,https://www.transfermarkt.us/abel-caputo/profil/spieler/677694
